_id,Customer Id,Artist Name,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Scheduled Date,Delivery Date,Customer Location,Cost
66735640b18d03bc02f52a6a,fffe3300350038003400,Francis Woods,0.23,15.0,6.0,34889.0,Marble,80.36,88.2,Yes,No,Yes,Roadways,No,Wealthy,Yes,05/31/19,05/27/19,"South Kennethville, NC 71699",1350.82
66735640b18d03bc02f522a0,fffe3500370038003900,Richard Gamble,,20.0,12.0,823.0,Aluminium,3.13,15.27,Yes,No,Yes,Roadways,No,Working Class,No,10/04/18,10/02/18,"New Phillipland, IA 68331",692.07
66735640b18d03bc02f51d53,fffe3500300039003300,Marilyn Kwon,0.19,26.0,14.0,,,4.35,45.81,Yes,Yes,No,Airways,Yes,Working Class,No,05/24/17,05/22/17,"North Katherine, NJ 26135",437.38
66735640b18d03bc02f53028,fffe3100330037003800,Marci Priestley,0.15,41.0,10.0,4207.0,Clay,8.45,13.95,Yes,Yes,No,,Yes,Wealthy,Yes,08/30/18,09/03/18,"Lake Jodi, ID 83230",283.15
66735640b18d03bc02f52433,fffe3800310035003100,Marc Rinaldi,0.72,22.0,7.0,98104.0,Marble,221.18,82.11,No,No,No,Roadways,No,Wealthy,No,05/17/17,05/16/17,"Torresbury, WY 78548",2362.95
66735640b18d03bc02f5317a,fffe3100370036003100,Richard Cox,0.91,,10.0,13039.0,Bronze,112.09,49.75,No,Yes,Yes,Airways,No,Working Class,No,05/16/16,05/12/16,"Hintonview, NJ 22747",2559.17
66735640b18d03bc02f52362,fffe3900360036003400,Jason Dearing,0.16,15.0,8.0,90.0,Wood,3.81,24.75,No,No,No,Roadways,No,Working Class,Yes,02/25/18,02/24/18,"Alexanderport, WI 20844",165.42
66735640b18d03bc02f525a1,fffe3300300033003000,Matthew Mcallen,0.7,,8.0,220.0,Wood,5.32,24.06,Yes,No,Yes,Waterways,No,Wealthy,No,10/17/16,10/21/16,DPO AA 57886,445.46
66735640b18d03bc02f531c0,fffe3900320032003900,Georgia Crenshaw,0.41,28.0,17.0,534984.0,Marble,199.52,90.64,No,No,Yes,Roadways,No,Working Class,No,07/07/15,07/05/15,"Meyerville, WI 72316",2160.68
66735640b18d03bc02f524f2,fffe3900310038003000,Janice Lally,0.11,39.0,18.0,52546.0,Bronze,190.89,74.97,No,Yes,Yes,Airways,No,Working Class,No,05/03/19,05/01/19,"East Megan, TN 57158",913.59
66735640b18d03bc02f51e0f,fffe3300370031003800,Tamika Mitchell,0.49,,6.0,4035.0,Brass,6.09,14.06,Yes,No,No,Airways,No,Wealthy,No,12/03/15,12/05/15,"Kellerside, SD 68561",312.61
66735640b18d03bc02f51b3a,fffe3300340031003200,Theresa White,,32.0,16.0,,Clay,21.21,38.07,No,No,No,,Yes,Wealthy,No,05/26/18,05/28/18,"Nicholasstad, NE 55672",-643.39
66735640b18d03bc02f52395,fffe3600390036003200,Adela Brock,0.95,39.0,14.0,3614.0,Aluminium,7.38,14.89,Yes,No,Yes,Waterways,No,Working Class,No,06/18/19,06/22/19,"West Robert, VT 84382",1544.2
66735640b18d03bc02f52585,fffe3200390031003700,Sherrie Feltus,0.1,10.0,5.0,12676.0,Stone,37.09,49.51,No,No,Yes,,No,Working Class,,02/26/18,02/26/18,"Wrightport, LA 70905",367.93
66735640b18d03bc02f52a9d,fffe3400300033003000,Tina Seals,0.8,22.0,11.0,405806.0,,270.75,46.28,Yes,No,No,,No,Working Class,No,01/01/19,12/30/18,"Stephaniefort, KS 95811",2240.5
66735640b18d03bc02f52b3d,fffe3900350031003400,Hilda Boyd,0.84,4.0,3.0,10.0,Wood,4.66,15.71,No,No,Yes,Roadways,No,Working Class,No,04/02/16,04/02/16,"Port Tammyborough, NH 21863",204.09
66735640b18d03bc02f52a77,fffe3100380031003500,Jake Cross,0.39,24.0,9.0,539642.0,Stone,3163.57,73.83,No,No,No,,No,Working Class,No,01/31/16,01/30/16,"Hammondfurt, VA 54733",9694.94
66735640b18d03bc02f51ed3,fffe3100370037003400,Michael Dean,0.45,14.0,7.0,143.0,Wood,4.1,16.27,Yes,No,Yes,,No,Wealthy,,04/19/17,04/18/17,"South Amyshire, WV 64505",239.95
66735640b18d03bc02f5294c,fffe3700310038003200,Mark Toombs,0.33,14.0,6.0,398.0,Clay,3.31,24.88,Yes,No,No,Roadways,Yes,Working Class,No,03/11/16,03/09/16,"Port Stacyberg, SD 39200",264.6
66735640b18d03bc02f522c2,fffe3600300034003400,Debora Brown,0.73,12.0,6.0,1758.0,Brass,6.77,22.75,Yes,No,No,Waterways,No,Wealthy,No,08/14/15,08/16/15,"Whitetown, NJ 58788",486.85
66735640b18d03bc02f526ac,fffe370030003100,Wayne Mahan,,18.0,,,Clay,12.15,12.98,Yes,No,No,Waterways,Yes,Working Class,No,04/04/17,04/02/17,APO AE 23670,170.21
66735640b18d03bc02f5276a,fffe3900370034003800,Darlene Eaton,0.59,25.0,10.0,24399.0,Brass,49.67,56.65,No,Yes,No,Roadways,No,Wealthy,No,05/31/18,06/04/18,"Kathleenport, AR 61567",1260.96
66735640b18d03bc02f51a3d,fffe3400300035003700,Steven Thomas,0.62,28.0,9.0,20185.0,Brass,25.68,37.38,No,Yes,No,Airways,No,Working Class,Yes,03/27/15,03/26/15,"South Elizabeth, VA 20439",-1122.36
66735640b18d03bc02f526e0,fffe3900300038003000,Mildred Lee,0.08,12.0,8.0,1459.0,Brass,4.3,14.28,No,No,Yes,Roadways,No,Working Class,No,01/28/17,01/28/17,"New Julie, RI 23123",155.73
66735640b18d03bc02f51f21,fffe3600310036003800,Billy Grimes,0.92,49.0,19.0,14460.0,Clay,59.23,52.02,No,No,No,Waterways,Yes,Working Class,No,04/09/18,04/09/18,"Port Robert, MT 43740",4369.4
66735640b18d03bc02f5260c,fffe330039003300,Victor Pierce,0.95,38.0,14.0,21260.0,Bronze,87.88,72.68,No,No,Yes,,No,Working Class,,07/04/19,07/07/19,"Olsenfurt, IL 11856",17537.29
66735640b18d03bc02f5289a,fffe3200340034003000,Lindsey Heron,0.31,,8.0,181.0,Aluminium,4.93,19.23,Yes,No,No,,No,Working Class,No,09/09/15,09/08/15,"North Michaelshire, SD 74185",182.74
66735640b18d03bc02f51fd6,fffe340038003700,John Lynch,0.46,13.0,6.0,300.0,Aluminium,5.21,22.16,No,Yes,Yes,,No,Wealthy,,03/02/17,02/26/17,"North Shawnhaven, OR 02560",341.44
66735640b18d03bc02f51937,fffe3600370035003100,Laura Miller,0.07,8.0,5.0,237.0,Clay,4.96,21.18,No,No,No,Roadways,Yes,Working Class,Yes,03/09/15,03/08/15,"Bowmanshire, WA 19241",-154.29
66735640b18d03bc02f5302c,fffe3800390033003200,Peggy Neer,0.44,15.0,7.0,3649.0,Brass,3.78,15.68,No,No,No,Airways,No,Working Class,No,11/25/18,11/23/18,"South Katelyn, TX 01124",243.57
66735640b18d03bc02f52405,fffe3100300034003500,Lucila Barnes,,13.0,8.0,227.0,Aluminium,3.86,14.43,No,No,Yes,Roadways,No,Wealthy,Yes,05/02/19,05/02/19,"Laurafurt, FL 38138",233.01
66735640b18d03bc02f51e2e,fffe3600300031003800,John Costa,0.62,28.0,17.0,1582139.0,Marble,12697.57,94.99,Yes,Yes,No,Airways,No,Working Class,No,12/29/16,12/28/16,"Lake Philip, AK 46037",33313.31
66735640b18d03bc02f523d0,fffe320034003300,Connie Lopez,0.59,13.0,7.0,970.0,Clay,4.3,17.93,No,No,Yes,,Yes,Working Class,No,05/02/17,05/02/17,"South Lisa, LA 25185",285.09
66735640b18d03bc02f522b7,fffe370033003800,Darryl Jones,0.92,30.0,14.0,796.0,Wood,5.02,15.62,Yes,No,No,Waterways,No,Working Class,,07/01/18,07/04/18,"West Peggyburgh, NE 25861",690.16
66735640b18d03bc02f51dde,fffe3300300039003800,Stephen Thompson,0.21,13.0,8.0,2493.0,Bronze,4.41,19.16,No,Yes,No,Roadways,No,Working Class,No,03/20/16,03/20/16,"East Penny, KS 71316",186.67
66735640b18d03bc02f52423,fffe3800370034003000,Alfredo Wickliff,0.7,31.0,18.0,3148.0,Aluminium,8.48,12.46,No,Yes,Yes,Airways,No,Working Class,No,10/31/18,10/31/18,"Tranland, OR 14161",1065.58
66735640b18d03bc02f531e2,fffe350037003500,Blake Fowler,0.79,17.0,7.0,228.0,Wood,3.82,19.65,Yes,No,No,Airways,No,Working Class,No,06/21/18,06/24/18,"Dannymouth, NM 07837",373.07
66735640b18d03bc02f51e61,fffe3600310035003200,Yon Harmon,0.34,3.0,3.0,11.0,,3.3,19.84,No,Yes,No,,No,Wealthy,No,03/27/15,03/24/15,"Katherineview, AR 17934",168.62
66735640b18d03bc02f52ce6,fffe3200310030003900,Darrin Blackburn,0.5,15.0,6.0,,Brass,6.63,10.62,No,Yes,Yes,Airways,No,Working Class,No,07/26/16,07/26/16,"Faithland, ID 77737",299.77
66735640b18d03bc02f51c98,fffe3100360032003500,Angela Miller,0.68,13.0,8.0,2494.0,Bronze,7.78,24.74,No,No,No,Roadways,No,Working Class,No,07/26/16,07/23/16,"Nicholasbury, NM 56527",562.26
66735640b18d03bc02f52ddb,fffe3800380034003700,Lydia Garrett,0.73,38.0,9.0,596.0,Wood,3.16,23.83,No,No,No,Roadways,No,Working Class,No,08/31/17,08/31/17,"West Paulport, UT 58381",552.59
66735640b18d03bc02f53240,fffe3700310034003600,Jordan Huntley,0.01,23.0,11.0,14303.0,Brass,15.51,69.34,Yes,Yes,Yes,Airways,No,Wealthy,No,07/31/18,08/04/18,"Briannastad, SC 51033",449.41
66735640b18d03bc02f5325a,fffe3400350033003600,Jose Mcmunn,0.2,,4.0,71.0,Clay,6.27,17.4,Yes,No,Yes,Airways,Yes,Working Class,,03/26/19,03/30/19,"Lake Christophertown, AZ 12798",159.47
66735640b18d03bc02f51a52,fffe3800340035003700,Barbara Wilson,0.12,19.0,7.0,109618.0,Marble,83.45,46.89,No,No,No,Roadways,No,Working Class,No,08/18/16,08/18/16,"Lake Elizabethfurt, NM 45023",-566.43
66735640b18d03bc02f51bae,fffe3700360031003800,Evette Rollins,0.16,32.0,7.0,1128.0,Aluminium,6.35,22.01,No,No,No,Roadways,No,Working Class,Yes,12/21/18,12/18/18,"New Natashaside, LA 49277",-188.21
66735640b18d03bc02f525f3,fffe3500330030003300,Philip Lake,0.24,39.0,15.0,2220506.0,Marble,1662.11,73.19,No,No,No,,Yes,Working Class,No,07/27/15,07/23/15,"North Tinaburgh, NV 78450",5283.03
66735640b18d03bc02f51a31,fffe3300340030003700,Edward Moreau,,13.0,,99.0,Wood,5.01,16.12,Yes,No,Yes,,No,Working Class,No,02/20/18,02/19/18,"Annaton, NJ 68823",-253.75
66735640b18d03bc02f52953,fffe3100330031003500,Derrick Morris,0.25,4.0,3.0,6.0,,4.63,18.32,No,Yes,Yes,,No,Working Class,No,06/25/18,06/21/18,"Zamorachester, CA 54819",145.51
66735640b18d03bc02f52fe5,fffe3500310034003000,Larry Porter,0.8,54.0,24.0,5074949.0,Marble,27750.6,78.67,No,Yes,Yes,Roadways,Yes,Wealthy,Yes,05/27/17,05/27/17,"Lauraville, AL 82939",-236681.06
66735640b18d03bc02f5237a,fffe3200340030003500,Curtis Ange,0.37,39.0,,2282724.0,Stone,5255.47,34.95,Yes,Yes,No,Airways,No,Working Class,,02/15/17,02/17/17,"Lake Brandonview, MO 76720",65810.0
66735640b18d03bc02f52ece,fffe3900310038003200,Rebecca Heard,0.62,10.0,4.0,6536.0,Marble,21.41,45.41,No,No,No,Waterways,No,Working Class,No,04/09/19,04/08/19,"Lake William, DE 11030",523.57
66735640b18d03bc02f5234b,fffe3100320030003100,Mary Carbajal,,35.0,12.0,8481.0,Clay,6.91,55.72,Yes,Yes,Yes,Airways,Yes,Wealthy,Yes,08/08/16,08/04/16,"Lovefort, DC 16700",951.7
66735640b18d03bc02f520da,fffe3900350033003000,Jonathan Dickerson,0.6,19.0,6.0,65232.0,Marble,115.45,73.48,Yes,Yes,Yes,Airways,No,Wealthy,No,02/26/15,02/24/15,"Barneshaven, MA 80260",1901.14
66735640b18d03bc02f5320c,fffe3500310030003500,Robert Nobles,0.85,41.0,,211.0,Wood,5.08,15.16,Yes,Yes,Yes,Airways,No,Working Class,No,10/18/15,10/14/15,"Lake Richard, IL 13150",885.89
66735640b18d03bc02f52d7e,fffe3100350033003400,Samuel Hanson,0.29,31.0,10.0,584.0,Wood,4.67,14.99,No,No,No,,No,Working Class,Yes,12/25/18,12/27/18,"Campbellfort, CO 23458",145.97
66735640b18d03bc02f521d0,fffe350035003800,John Tucker,0.74,35.0,14.0,1225.0,Wood,6.58,24.83,No,No,No,,No,Wealthy,No,06/13/16,06/09/16,"Fletcherfurt, PA 74237",877.27
66735640b18d03bc02f5195b,fffe3900320032003700,Magdalena Jordan,0.59,22.0,15.0,16046.0,Brass,99.52,89.55,Yes,No,Yes,Waterways,No,Working Class,No,06/28/15,06/28/15,APO AP 17205,-4895.23
66735640b18d03bc02f520f8,fffe340031003000,Agnes Larkins,0.59,21.0,13.0,9925.0,,47.67,40.77,No,Yes,Yes,Airways,No,Wealthy,,10/17/15,10/15/15,"Vickiton, CO 98744",1242.95
66735640b18d03bc02f5318e,fffe3800360033003500,Angela Haymond,0.62,40.0,16.0,47842.0,Bronze,23.57,90.27,No,No,No,Roadways,No,Working Class,No,06/13/15,06/13/15,APO AE 17001,1892.96
66735640b18d03bc02f531ef,fffe3800350037003200,Fernando Leppert,0.49,4.0,4.0,134.0,Bronze,6.56,22.01,No,Yes,Yes,Airways,No,Wealthy,No,04/10/19,04/14/19,"Gregside, IA 94710",243.7
66735640b18d03bc02f51f05,fffe3300370033003600,Alfred Isch,0.36,32.0,19.0,2515578.0,Marble,16096.58,91.24,No,Yes,No,,No,Wealthy,,03/14/18,03/18/18,"West Williamview, AZ 67358",25697.54
66735640b18d03bc02f52126,fffe3500370031003800,Linda Dickerson,,13.0,6.0,385.0,Aluminium,3.95,13.51,No,Yes,No,,No,Working Class,No,11/20/15,11/17/15,DPO AP 15161,120.32
66735640b18d03bc02f52ac4,fffe3500380037003700,Elton Brown,0.4,,19.0,,,66.94,38.37,No,No,No,Roadways,No,Working Class,No,12/22/15,12/20/15,"Jordanchester, CA 37626",866.27
66735640b18d03bc02f5221c,fffe3700320036003400,Gilbert Burke,0.83,15.0,7.0,2524.0,Brass,5.1,14.1,No,No,No,Roadways,No,Working Class,No,08/12/18,08/12/18,"Howardtown, VT 38139",406.03
66735640b18d03bc02f51c4e,fffe3100310039003000,Joanne Mount,,34.0,,1837.0,,4.65,14.63,No,Yes,No,,No,Wealthy,Yes,10/13/16,10/15/16,"Michaelton, NY 24643",309.18
66735640b18d03bc02f52b17,fffe3200330035003900,Nancy Pinson,0.82,46.0,12.0,2086001.0,Marble,1986.0,63.63,No,No,Yes,Roadways,Yes,Working Class,No,02/20/17,02/18/17,"West Brenda, AK 31168",13199.22
66735640b18d03bc02f51efa,fffe3300370030003700,Olga Zender,0.64,26.0,11.0,830.0,Aluminium,3.78,20.32,No,Yes,No,Roadways,No,Wealthy,No,08/12/17,08/09/17,"East Derrickchester, NM 08902",452.74
66735640b18d03bc02f52a98,fffe3100380038003100,Roger Rauch,0.64,26.0,6.0,1753.0,Clay,3.33,17.33,Yes,Yes,No,Airways,Yes,Working Class,No,06/24/18,06/28/18,"North Jack, GA 79605",398.42
66735640b18d03bc02f52e2d,fffe3900310031003400,George Kelley,0.15,23.0,7.0,348.0,Wood,5.13,22.11,No,No,Yes,Roadways,No,Working Class,No,10/09/16,10/06/16,"East Barbara, AR 36959",177.22
66735640b18d03bc02f51a37,fffe3400340034003500,Sara Edwards,0.01,28.0,10.0,591.0,Wood,5.57,14.65,Yes,No,Yes,Airways,No,Working Class,No,04/25/18,04/28/18,"Floydberg, MT 05777",-122.22
66735640b18d03bc02f52850,fffe3100320037003400,Jacob Headley,0.4,30.0,14.0,38846.0,Brass,42.12,80.53,No,Yes,No,,No,Wealthy,No,03/16/15,03/17/15,"New Jenniferberg, WV 40729",1410.05
66735640b18d03bc02f53178,fffe3900360035003500,Mike Brickman,0.56,10.0,5.0,1307.0,Bronze,4.58,11.01,No,Yes,Yes,Roadways,No,Working Class,No,12/27/18,12/25/18,"Port Michelle, WV 68387",247.41
66735640b18d03bc02f519e0,fffe3400360035003400,Darrell Moshier,0.25,37.0,8.0,13611.0,Bronze,32.43,69.33,No,No,Yes,Waterways,No,Working Class,No,10/29/15,10/26/15,"Lindaport, VT 69682",-604.6
66735640b18d03bc02f526e7,fffe350032003800,Richard Spears,0.54,20.0,7.0,126426.0,Stone,446.67,40.92,No,Yes,No,Airways,No,Wealthy,No,08/29/15,08/25/15,"Williamsshire, SC 55564",4148.48
66735640b18d03bc02f5229a,fffe3800330034003700,Ervin Leggett,0.37,51.0,23.0,13736.0,Clay,17.56,47.93,Yes,No,No,Waterways,Yes,Working Class,No,10/28/17,10/25/17,"New Kristen, LA 19830",676.27
66735640b18d03bc02f525f6,fffe3800390038003200,Patrick Gall,0.16,27.0,11.0,23792.0,Brass,49.28,65.75,No,Yes,Yes,Airways,No,Working Class,No,09/03/17,09/03/17,"Christinaland, KY 55570",633.23
66735640b18d03bc02f5272b,fffe3200360035003600,Cindy Grogan,0.9,9.0,4.0,55.0,Wood,6.44,14.69,No,Yes,No,Roadways,No,Wealthy,No,08/11/17,08/12/17,DPO AE 51475,482.42
66735640b18d03bc02f52ae5,fffe3100300036003200,Chester Hein,0.54,19.0,8.0,,,5.05,12.16,No,No,Yes,Roadways,Yes,Working Class,Yes,03/15/15,03/15/15,"Port Michellefurt, FL 57472",288.03
66735640b18d03bc02f51977,fffe3500300035003900,Timothy Mckenzie,0.68,15.0,8.0,143739.0,Stone,409.34,72.82,No,No,No,Roadways,No,Working Class,No,03/07/18,03/05/18,"South Lisa, ME 65065",-4089.47
66735640b18d03bc02f530d4,fffe3200350034003700,James Smith,0.01,,11.0,1041.0,Wood,3.01,19.24,Yes,No,No,Waterways,No,Working Class,No,08/10/17,08/10/17,FPO AP 58914,119.18
66735640b18d03bc02f52c57,fffe3300360030003400,Oscar James,0.11,31.0,6.0,5949.0,,11.95,56.02,Yes,Yes,Yes,Airways,No,Wealthy,Yes,01/07/17,01/06/17,APO AA 78062,488.8
66735640b18d03bc02f530d9,fffe3500390033003300,Stella Peters,,16.0,6.0,119.0,,5.95,12.49,Yes,No,Yes,,No,Working Class,No,02/15/15,02/18/15,"Brooksport, ND 34894",193.26
66735640b18d03bc02f51979,fffe3200350038003500,Albert Rivard,0.81,,3.0,495.0,Stone,6.11,20.95,Yes,No,No,Waterways,No,Working Class,Yes,10/12/18,10/08/18,"Miguelchester, NC 53772",-516.72
66735640b18d03bc02f51bf2,fffe3800390034003800,Eva Gingras,0.06,12.0,7.0,41853.0,Stone,70.71,36.33,Yes,Yes,Yes,Airways,No,Working Class,No,03/02/15,02/26/15,"Port Saraburgh, TX 21774",662.64
66735640b18d03bc02f52390,fffe3900350039003300,Elisabeth Cooper,0.02,42.0,11.0,742.0,Wood,4.43,22.89,No,Yes,No,Airways,No,Working Class,Yes,07/05/19,07/01/19,"Jessicabury, OH 30272",161.89
66735640b18d03bc02f52b8b,fffe3900310038003700,Jennifer Bradford,0.26,21.0,11.0,10714.0,Bronze,31.61,58.14,Yes,Yes,Yes,Airways,No,Wealthy,No,09/02/17,09/02/17,"New Joshuafurt, CO 57966",674.56
66735640b18d03bc02f52240,fffe3900310030003000,Teresa Davis,0.32,12.0,7.0,107.0,Wood,3.24,14.05,Yes,No,Yes,Waterways,No,Working Class,No,06/24/16,06/24/16,"Crossview, WI 10155",148.2
66735640b18d03bc02f52080,fffe3200360038003600,Sue Brewer,0.69,19.0,7.0,230.0,Wood,6.83,23.71,No,No,No,Waterways,No,Working Class,No,04/20/18,04/24/18,"Kristinfurt, AZ 27946",395.6
66735640b18d03bc02f53180,fffe3300370031003500,Andrew Williams,0.5,26.0,7.0,287246.0,,1432.49,87.39,No,Yes,Yes,Roadways,No,Working Class,,12/14/18,12/13/18,"Elizabethmouth, WI 18355",4301.32
66735640b18d03bc02f52c6d,fffe3200370034003800,Stephanie Graves,,10.0,5.0,682.0,Bronze,3.95,18.68,No,No,No,Roadways,No,Working Class,No,11/27/18,11/27/18,"Brooksberg, NY 81764",138.02
66735640b18d03bc02f52033,fffe3900390030003200,Shawn Kessler,0.0,20.0,11.0,435856.0,Stone,881.93,26.69,Yes,Yes,No,Airways,No,Working Class,No,03/25/15,03/21/15,"Brittanyton, TN 80954",2672.25
66735640b18d03bc02f51f19,fffe3900340036003000,Brian Travis,0.05,39.0,13.0,32953.0,Bronze,91.54,27.95,No,Yes,Yes,Airways,No,Working Class,No,06/28/16,07/01/16,"North Caitlyn, NM 69921",512.69
66735640b18d03bc02f531b5,fffe3200300035003000,Darlene Gaytan,0.89,,7.0,,Aluminium,5.16,21.7,No,Yes,Yes,,No,Working Class,No,08/04/16,08/05/16,DPO AE 61013,951.07
66735640b18d03bc02f530fd,fffe3900320036003700,Ann Obrien,0.01,19.0,10.0,9196.0,Brass,23.83,93.67,No,Yes,Yes,Airways,No,Working Class,No,07/08/15,07/07/15,"Davisbury, CO 60640",488.81
66735640b18d03bc02f51c15,fffe3200300039003200,William Nordenstrom,0.45,38.0,,1760373.0,Marble,1014.52,81.89,No,No,Yes,,Yes,Working Class,No,05/13/18,05/10/18,"Jacksonland, NH 33955",4074.36
66735640b18d03bc02f51ea8,fffe35003100,Brian Brinker,0.82,,17.0,,Brass,345.2,82.28,Yes,Yes,No,Airways,No,Working Class,No,12/13/17,12/15/17,APO AP 78280,5984.4
66735640b18d03bc02f529c0,fffe3600300039003600,Brian Haines,,26.0,16.0,738896.0,Marble,1712.44,78.39,Yes,No,No,,No,Working Class,No,08/11/15,08/15/15,"Galvanport, HI 95180",2064.77
66735640b18d03bc02f522c6,fffe3500300039003400,Dallas Wilkins,0.87,14.0,6.0,201.0,Wood,3.47,14.0,No,No,No,,No,Working Class,No,01/24/16,01/28/16,"West Melindachester, KS 77938",262.38
66735640b18d03bc02f52bf3,fffe3300320038003200,James Packard,0.18,,20.0,3423.0,Aluminium,15.71,17.95,No,Yes,No,,No,Working Class,Yes,06/10/15,06/09/15,"Port Charles, CO 60804",218.23
66735640b18d03bc02f5246b,fffe3300320032003800,John Lee,0.38,26.0,14.0,,Marble,3067.63,50.91,Yes,No,No,Waterways,No,Working Class,No,02/18/15,02/16/15,"Lake Josephland, MI 84110",7763.6
66735640b18d03bc02f52564,fffe3800310038003300,Mary Cargill,0.05,30.0,13.0,1172668.0,Stone,1483.24,63.79,Yes,No,No,Waterways,No,Working Class,No,09/27/16,09/29/16,"South Allisonfurt, WI 18959",1718.61
66735640b18d03bc02f51d71,fffe3200390031003000,Danielle Barnard,0.82,39.0,15.0,1112447.0,Marble,5408.58,76.8,No,No,Yes,Airways,Yes,Wealthy,No,03/24/18,03/20/18,"East Matthew, ID 22490",128411.71
66735640b18d03bc02f52bc3,fffe3200350030003200,Katherine Bentley,0.49,7.0,4.0,130.0,Clay,6.28,24.65,No,No,Yes,Roadways,Yes,Working Class,No,12/10/16,12/08/16,"Carrberg, ND 05934",278.27
66735640b18d03bc02f530cc,fffe3100360031003500,Paul Crandle,,19.0,6.0,226.0,Wood,3.22,24.53,No,No,No,Roadways,No,Wealthy,No,02/13/15,02/17/15,"Barajasfurt, MO 86823",165.05
66735640b18d03bc02f52b59,fffe3700300038003600,John Cooke,0.56,12.0,8.0,797.0,Clay,3.47,18.87,No,No,Yes,Roadways,Yes,Working Class,No,03/17/18,03/17/18,"Williamhaven, AL 11319",275.69
66735640b18d03bc02f51af8,fffe3700380030003200,Cheryl Walker,0.1,34.0,6.0,105883.0,Marble,86.91,29.0,No,No,No,Waterways,No,Working Class,No,03/10/18,03/11/18,"Anthonyland, NC 91661",-381.65
66735640b18d03bc02f52200,fffe3600370030003300,Lori Segura,0.51,7.0,4.0,1483.0,Marble,6.36,17.95,No,No,Yes,Roadways,No,Working Class,No,08/14/18,08/17/18,"Walkerview, MA 24942",267.95
66735640b18d03bc02f529d5,fffe3800320033003100,Charles Obrien,0.35,23.0,10.0,7442.0,Bronze,15.78,73.06,No,No,Yes,Roadways,No,Working Class,Yes,04/22/17,04/20/17,"Maciasview, RI 97474",713.41
66735640b18d03bc02f5238b,fffe3100360037003100,Charles Lopez,0.17,17.0,,656.0,Clay,6.51,14.34,Yes,No,Yes,,Yes,Wealthy,Yes,12/05/17,12/07/17,"North Jennifer, HI 25865",183.69
66735640b18d03bc02f526d2,fffe3100370033003200,Dena Manthe,,34.0,14.0,6445.0,Clay,7.0,50.39,No,No,Yes,Roadways,Yes,Working Class,No,01/03/19,12/31/18,"Harrisbury, AL 62648",757.27
66735640b18d03bc02f527d1,fffe3400340036003400,Christopher Stephen,0.51,16.0,6.0,178.0,Wood,6.14,18.8,No,No,Yes,Roadways,No,Working Class,,09/23/17,09/25/17,"Mcdonaldtown, NC 93544",252.58
66735640b18d03bc02f525fb,fffe3200340035003500,Rose Plata,,16.0,,47074.0,Marble,63.98,92.7,No,No,No,,No,Working Class,No,08/13/18,08/13/18,"New John, PA 50796",556.09
